Kode Produk,Nama Produk,Kuantitas Terjual,Kuantitas Retur,Satuan,Total Nilai terjual,Total Nilai Retur,Harga Penjualan Rata-rata,date
FGB80001	,ZIZI Aromatherapy Citrus 8 ml,74.17,-0.0,Box,10680000.0,0.0,143993.52838074692,2019-07-31
FGB80003	,ZIZI Aromatherapy Hot 8 ml,73.59,-0.0,Box,10596000.0,0.0,143986.95474928658,2019-07-31
FGB80004	,ZIZI Aromatherapy Kids 8 ml,74.67,-0.0,Box,10752000.0,0.0,143993.5717155484,2019-07-31
FGB70006	,ZIZI Body Wash Mild 100 ml,130.08,-0.0,Box,60468500.0,0.0,464856.2423124231,2019-07-31
FGB70007	,ZIZI Body Wash Mild 250 ml,144.605,-0.0,Box,86760000.0,0.0,599979.2538293973,2019-07-31
FGB70008	,ZIZI Body Wash Mild Refill 450 ml,3.0,-0.0,Box,1260000.0,0.0,420000.0,2019-07-31
FGB80001	,ZIZI Aromatherapy Citrus 8 ml,180.33,-0.0,Box,26135864.0,0.0,144933.53296733764,2019-08-31
FGB80003	,ZIZI Aromatherapy Hot 8 ml,149.17,-0.0,Box,21595773.0,0.0,144772.89669504593,2019-08-31
FGB80004	,ZIZI Aromatherapy Kids 8 ml,128.42,-0.0,Box,18655364.0,0.0,145268.36941286403,2019-08-31
FGB70006	,ZIZI Body Wash Mild 100 ml,260.2237,-0.0,Box,120149608.0,0.0,461716.62304394256,2019-08-31
FGB70007	,ZIZI Body Wash Mild 250 ml,327.1,-0.0,Box,196427891.0,0.0,600513.2711708958,2019-08-31
FGB70008	,ZIZI Body Wash Mild Refill 450 ml,329.25,-0.0,Box,138367000.0,0.0,420249.0508731968,2019-08-31
FGB80001	,ZIZI Aromatherapy Citrus 8 ml,140.5,-0.0,Box,19918080.0,0.0,141765.69395017793,2019-09-30
FGB80002	,ZIZI Aromatherapy Coffee 8 ml,122.0,-0.0,Box,17176320.0,0.0,140789.50819672132,2019-09-30
FGB80003	,ZIZI Aromatherapy Hot 8 ml,168.17,-0.0,Box,23671200.0,0.0,140757.56674793363,2019-09-30
FGB80004	,ZIZI Aromatherapy Kids 8 ml,182.0,-0.0,Box,25763040.0,0.0,141555.16483516485,2019-09-30
FGB80005	,ZIZI Aromatherapy Lemongrass 8 ml,91.33,-0.0,Box,12832320.0,0.0,140504.9819336472,2019-09-30
FGB70006	,ZIZI Body Wash Mild 100 ml,213.247,-0.0,Box,96072284.0,0.0,450521.1515285091,2019-09-30
FGB70007	,ZIZI Body Wash Mild 250 ml,268.18,-0.0,Box,156446499.99999997,0.0,583363.7855171899,2019-09-30
FGB70008	,ZIZI Body Wash Mild Refill 450 ml,546.38,-0.0,Box,223709598.85999897,0.0,409439.5820857261,2019-09-30
FGB80001	,ZIZI Aromatherapy Citrus 8 ml,158.0,-0.0,Box,22107047.5,0.0,139918.0221518987,2019-10-31
FGB80002	,ZIZI Aromatherapy Coffee 8 ml,99.0,-0.0,Box,13727655.0,0.0,138663.1818181818,2019-10-31
FGB80003	,ZIZI Aromatherapy Hot 8 ml,163.17,-0.0,Box,22831575.0,0.0,139925.07813936385,2019-10-31
FGB80004	,ZIZI Aromatherapy Kids 8 ml,138.0,-0.0,Box,19364567.5,0.0,140322.95289855072,2019-10-31
FGB80005	,ZIZI Aromatherapy Lemongrass 8 ml,118.17,-0.0,Box,16407735.0,0.0,138848.56562579333,2019-10-31
FGB70006	,ZIZI Body Wash Mild 100 ml,250.0,-0.0,Box,111984510.0,0.0,447938.04,2019-10-31
FGP70009	,ZIZI Body Wash Mild 25 ml (pcs),1000.0,-0.0,pcs,1900000.0,0.0,1900.0,2019-10-31
FGB70007	,ZIZI Body Wash Mild 250 ml,359.03,-0.0,Box,207834510.0,0.0,578877.8375066151,2019-10-31
FGB70008	,ZIZI Body Wash Mild Refill 450 ml,542.33,-0.0,Box,219264500.0,0.0,404300.8869138716,2019-10-31
FGM80006	,ZIZI Parfum Kasturi 30 ml (pcs),34.0,-0.0,pcs,2569200.0,0.0,75564.70588235294,2019-10-31
FGB80001	,ZIZI Aromatherapy Citrus 8 ml,160.083333,-0.0,Box,22214618.645088445,0.0,138769.09125254437,2019-11-30
FGB80002	,ZIZI Aromatherapy Coffee 8 ml,68.083333,-0.0,Box,9495819.18705307,0.0,139473.4771144807,2019-11-30
FGB80003	,ZIZI Aromatherapy Hot 8 ml,122.083333,-0.0,Box,16872922.645088445,0.0,138208.240473648,2019-11-30
FGB80004	,ZIZI Aromatherapy Kids 8 ml,119.083333,-0.0,Box,16422938.645088444,0.0,137911.3116114112,2019-11-30
FGB80005	,ZIZI Aromatherapy Lemongrass 8 ml,80.083333,-0.0,Box,11055338.645088444,0.0,138047.9337078596,2019-11-30
FGB70006	,ZIZI Body Wash Mild 100 ml,193.0,-0.0,Box,84772372.17538577,0.0,439235.08899163606,2019-11-30
FGB70007	,ZIZI Body Wash Mild 250 ml,216.0,-0.0,Box,123834935.32179148,0.0,573309.8857490346,2019-11-30
FGB70008	,ZIZI Body Wash Mild Refill 450 ml,547.0,-0.0,Box,217761580.2408732,0.0,398101.6092154902,2019-11-30
FGM80006	,ZIZI Parfum Kasturi 30 ml (pcs),608.0,-0.0,pcs,45895998.49454272,0.0,75486.8396291821,2019-11-30
FGB80001	,ZIZI Aromatherapy Citrus 8 ml,161.0,-0.0,Box,22408980.0,0.0,139186.21118012423,2019-12-31
FGB80002	,ZIZI Aromatherapy Coffee 8 ml,93.0,-0.0,Box,12974100.0,0.0,139506.4516129032,2019-12-31
FGB80003	,ZIZI Aromatherapy Hot 8 ml,119.0,-0.0,Box,16542420.0,0.0,139011.93277310923,2019-12-31
FGB80004	,ZIZI Aromatherapy Kids 8 ml,145.0,-0.0,Box,20174400.0,0.0,139133.7931034483,2019-12-31
FGB80005	,ZIZI Aromatherapy Lemongrass 8 ml,93.0,-0.0,Box,13006500.0,0.0,139854.8387096774,2019-12-31
FGB70006	,ZIZI Body Wash Mild 100 ml,178.1,-0.0,Box,79015465.0,0.0,443657.86075238633,2019-12-31
FGB70007	,ZIZI Body Wash Mild 250 ml,244.0,-0.0,Box,139920000.0,0.0,573442.6229508197,2019-12-31
FGB70008	,ZIZI Body Wash Mild Refill 450 ml,536.0,-0.0,Box,214101300.0,0.0,399442.723880597,2019-12-31
FGM80006	,ZIZI Parfum Kasturi 30 ml (pcs),342.0,-0.0,pcs,26592000.0,0.0,77754.38596491229,2019-12-31
FGB80007	,ZIZI Parfum Kasturi 8 ml,7.167,-0.0,Box,1263000.0,0.0,176224.36165759733,2019-12-31
FGB80008	,ZIZI Toothpaste 120 gr,146.0,-0.0,Box,121416840.0,0.0,831622.1917808219,2019-12-31
MKG90005	,Display ZIZI (pcs),130.0,-0.0,pcs,1827000.0,0.0,14053.846153846152,2020-01-31
FGB80001	,ZIZI Aromatherapy Citrus 8 ml,132.0,-0.0,Box,17848080.0,0.0,135212.7272727273,2020-01-31
FGB80002	,ZIZI Aromatherapy Coffee 8 ml,83.0,-0.0,Box,11242800.0,0.0,135455.421686747,2020-01-31
FGB80003	,ZIZI Aromatherapy Hot 8 ml,125.0,-0.0,Box,16917120.0,0.0,135336.96,2020-01-31
FGB80004	,ZIZI Aromatherapy Kids 8 ml,124.0,-0.0,Box,16805520.0,0.0,135528.3870967742,2020-01-31
FGB80005	,ZIZI Aromatherapy Lemongrass 8 ml,103.0,-0.0,Box,13899600.0,0.0,134947.572815534,2020-01-31
FGB70006	,ZIZI Body Wash Mild 100 ml,91.0,-0.0,Box,38588550.0,0.0,424050.0,2020-01-31
FGP70009	,ZIZI Body Wash Mild 25 ml (pcs),200.0,-0.0,pcs,380000.0,0.0,1900.0,2020-01-31
FGB70007	,ZIZI Body Wash Mild 250 ml,143.0,-0.0,Box,79875000.0,0.0,558566.4335664336,2020-01-31
FGB70008	,ZIZI Body Wash Mild Refill 450 ml,286.0,-0.0,Box,112329000.0,0.0,392758.7412587413,2020-01-31
FGM80006	,ZIZI Parfum Kasturi 30 ml (pcs),136.0,-0.0,pcs,10303200.0,0.0,75758.82352941176,2020-01-31
FGB80007	,ZIZI Parfum Kasturi 8 ml,71.667,-0.0,Box,11929500.000000976,0.0,166457.36531459354,2020-01-31
FGB80008	,ZIZI Toothpaste 120 gr,99.458,-0.0,Box,82858008.0,0.0,833095.4573789941,2020-01-31
MKG90005	,Display ZIZI (pcs),57.0,-0.0,pcs,836250.0,0.0,14671.052631578948,2020-02-29
MKG90008	,Spanduk ZIZI 2X1 m,1.0,-0.0,pcs,45000.0,0.0,45000.0,2020-02-29
FGB80001	,ZIZI Aromatherapy Citrus 8 ml,99.0,-0.0,Box,13494239.990598517,0.0,136305.45445049007,2020-02-29
FGB80002	,ZIZI Aromatherapy Coffee 8 ml,52.0,-0.0,Box,7159679.996866173,0.0,137686.15378588793,2020-02-29
FGB80003	,ZIZI Aromatherapy Hot 8 ml,101.0,-0.0,Box,13773439.996866172,0.0,136370.69303827893,2020-02-29
FGB80004	,ZIZI Aromatherapy Kids 8 ml,86.0,-0.0,Box,11738159.993732344,0.0,136490.23248525982,2020-02-29
FGB80005	,ZIZI Aromatherapy Lemongrass 8 ml,65.0,-0.0,Box,8884079.993732346,0.0,136678.15374972837,2020-02-29
FGB70006	,ZIZI Body Wash Mild 100 ml,108.0,-0.0,Box,47047769.96983691,0.0,435627.4997207121,2020-02-29
FGB70007	,ZIZI Body Wash Mild 250 ml,144.0,-0.0,Box,81572999.94776954,0.0,566479.1663039553,2020-02-29
FGB70008	,ZIZI Body Wash Mild Refill 450 ml,639.0,-0.0,Box,251485499.95429835,0.0,393561.0327923292,2020-02-29
FGM80006	,ZIZI Parfum Kasturi 30 ml (pcs),79.0,-0.0,pcs,6017999.991294924,0.0,76177.21507968257,2020-02-29
FGB80007	,ZIZI Parfum Kasturi 8 ml,141.167,-0.0,Box,23834099.96082816,0.0,168836.20081767096,2020-02-29
FGB80008	,ZIZI Toothpaste 120 gr,45.0,-0.0,Box,37648223.96176729,0.0,836627.1991503845,2020-02-29
MKG90005	,Display ZIZI (pcs),86.0,-0.0,pcs,1263750.0,0.0,14694.767441860464,2020-03-31
MKG90010	,Polo ZIZI,4.0,-0.0,pcs,323000.0,0.0,80750.0,2020-03-31
FGB80001	,ZIZI Aromatherapy Citrus 8 ml,76.0,-0.0,Box,10306655.98618082,0.0,135613.8945550108,2020-03-31
FGB80002	,ZIZI Aromatherapy Coffee 8 ml,40.416667,-0.0,Box,5488799.98618082,0.0,135805.3593627802,2020-03-31
FGB80003	,ZIZI Aromatherapy Hot 8 ml,86.0,-0.0,Box,11851055.98618082,0.0,137802.9765834979,2020-03-31
FGB80004	,ZIZI Aromatherapy Kids 8 ml,68.083333,-0.0,Box,9364655.98618082,0.0,137546.96742271443,2020-03-31
FGB80005	,ZIZI Aromatherapy Lemongrass 8 ml,52.0,-0.0,Box,7022015.98618082,0.0,135038.76896501577,2020-03-31
FGB70006	,ZIZI Body Wash Mild 100 ml,62.57,-0.0,Box,27771589.955663465,0.0,443848.32916195405,2020-03-31
FGB70007	,ZIZI Body Wash Mild 250 ml,79.0,-0.0,Box,45237599.91363013,0.0,572627.8470079763,2020-03-31
FGB70008	,ZIZI Body Wash Mild Refill 450 ml,296.458333,-0.0,Box,118361599.79847027,0.0,399252.0587993399,2020-03-31
FGB70028	,ZIZI Hand Sanitizer Liquid Food Grade 1000 ml,826.997,-0.0,Box,853810056.0000001,0.0,1032422.1925835282,2020-03-31
FGB70031	,ZIZI Hand Sanitizer Liquid Food Grade 5000 ml,494.992333,-0.0,Box,584475000.00006,0.0,1180775.8646638673,2020-03-31
FGB70033	,ZIZI Hand Sanitizer Liquid Technical Grade 1000 ml,5.0,-0.0,Box,4800000.0,0.0,960000.0,2020-03-31
